id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome
119,2009,Cape Town,2009-04-18,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,75,0,R Dravid,Newlands,Br Doctrove,Rb Tiffin,Target is defended
120,2009,Cape Town,2009-04-19,Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,1,Delhi Daredevils,0,10,Dl Vettori,Newlands,Mr Benson,Sd Ranade,Target is chased
121,2009,Cape Town,2009-04-19,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Deccan Chargers,0,8,Rp Singh,Newlands,Mr Benson,Br Doctrove,Target is chased
122,2009,Port Elizabeth,2009-04-20,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Chennai Super Kings,92,0,M Muralitharan,St George'S Park,Bg Jerling,Sja Taufel,Target is defended
123,2009,Durban,2009-04-21,Kings Xi Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,Kolkata Knight Riders,11,0,Ch Gayle,Kingsmead,Dj Harper,Sd Ranade,Target is defended
124,2009,Cape Town,2009-04-22,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Deccan Chargers,24,0,Ac Gilchrist,Newlands,M Erasmus,Am Saheba,Target is defended
125,2009,Durban,2009-04-23,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,0,Delhi Daredevils,9,0,Ab De Villiers,Kingsmead,Br Doctrove,Sja Taufel,Target is defended
126,2009,Cape Town,2009-04-23,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,tie,0,Rajasthan Royals,0,0,Yk Pathan,Newlands,Mr Benson,M Erasmus,Tie/No Result
127,2009,Durban,2009-04-24,Royal Challengers Bangalore,Kings Xi Punjab,Royal Challengers Bangalore,bat,normal,0,Kings Xi Punjab,0,7,Rs Bopara,Kingsmead,Br Doctrove,Th Wijewardene,Target is chased
128,2009,Durban,2009-04-25,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,12,0,Pp Ojha,Kingsmead,Hdpk Dharmasena,Sja Taufel,Target is defended
129,2009,Port Elizabeth,2009-04-26,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,Delhi Daredevils,0,6,Tm Dilshan,St George'S Park,S Asnani,Bg Jerling,Target is chased
130,2009,Cape Town,2009-04-26,Kings Xi Punjab,Rajasthan Royals,Kings Xi Punjab,bat,normal,0,Kings Xi Punjab,27,0,Kc Sangakkara,Newlands,M Erasmus,K Hariharan,Target is defended
131,2009,Durban,2009-04-27,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,Hh Gibbs,Kingsmead,Il Howell,Th Wijewardene,Target is chased
132,2009,Port Elizabeth,2009-04-27,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,92,0,Sr Tendulkar,St George'S Park,Bg Jerling,Rb Tiffin,Target is defended
133,2009,Centurion,2009-04-28,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Rajasthan Royals,0,5,Yk Pathan,Supersport Park,Gav Baxter,Re Koertzen,Target is chased
134,2009,Durban,2009-04-29,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,normal,0,Royal Challengers Bangalore,0,5,Mv Boucher,Kingsmead,Mr Benson,Th Wijewardene,Target is chased
135,2009,Durban,2009-04-29,Kings Xi Punjab,Mumbai Indians,Kings Xi Punjab,bat,normal,0,Kings Xi Punjab,3,0,Kc Sangakkara,Kingsmead,Mr Benson,Sl Shastri,Target is defended
136,2009,Centurion,2009-04-30,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,Dp Nannes,Supersport Park,Gav Baxter,Am Saheba,Target is chased
137,2009,Centurion,2009-04-30,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,38,0,Sk Raina,Supersport Park,Gav Baxter,Re Koertzen,Target is defended
138,2009,East London,2009-05-01,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Mumbai Indians,9,0,Jp Duminy,Buffalo Park,M Erasmus,Sk Tarapore,Target is defended
139,2009,Durban,2009-05-01,Royal Challengers Bangalore,Kings Xi Punjab,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,8,0,Yuvraj Singh,Kingsmead,Hdpk Dharmasena,S Ravi,Target is defended
140,2009,Port Elizabeth,2009-05-02,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,3,Yk Pathan,St George'S Park,S Asnani,Bg Jerling,Target is chased
141,2009,Johannesburg,2009-05-02,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,normal,0,Chennai Super Kings,18,0,Sb Jakati,New Wanderers Stadium,Dj Harper,Re Koertzen,Target is defended
142,2009,Port Elizabeth,2009-05-03,Kolkata Knight Riders,Kings Xi Punjab,Kolkata Knight Riders,bat,normal,0,Kings Xi Punjab,0,6,Dpmd Jayawardene,St George'S Park,S Asnani,Mr Benson,Target is chased
143,2009,Johannesburg,2009-05-03,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,9,Jh Kallis,New Wanderers Stadium,Re Koertzen,Th Wijewardene,Target is chased
144,2009,East London,2009-05-04,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,78,0,Ms Dhoni,Buffalo Park,Br Doctrove,M Erasmus,Target is defended
145,2009,Durban,2009-05-05,Rajasthan Royals,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Rajasthan Royals,78,0,Gc Smith,Kingsmead,Ss Hazare,Il Howell,Target is defended
146,2009,Durban,2009-05-05,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Delhi Daredevils,0,9,G Gambhir,Kingsmead,Gav Baxter,Il Howell,Target is chased
147,2009,Centurion,2009-05-06,Deccan Chargers,Mumbai Indians,Deccan Chargers,bat,normal,0,Deccan Chargers,19,0,Rg Sharma,Supersport Park,Mr Benson,Hdpk Dharmasena,Target is defended
148,2009,Centurion,2009-05-07,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,A Singh,Supersport Park,K Hariharan,Dj Harper,Target is chased
149,2009,Centurion,2009-05-07,Chennai Super Kings,Kings Xi Punjab,Chennai Super Kings,bat,normal,1,Chennai Super Kings,12,0,Ml Hayden,Supersport Park,Dj Harper,Th Wijewardene,Target is defended
150,2009,East London,2009-05-08,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Delhi Daredevils,0,7,A Nehra,Buffalo Park,M Erasmus,Sk Tarapore,Target is chased
151,2009,Kimberley,2009-05-09,Deccan Chargers,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,3,Dpmd Jayawardene,De Beers Diamond Oval,Gav Baxter,Am Saheba,Target is chased
152,2009,Kimberley,2009-05-09,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Chennai Super Kings,0,7,S Badrinath,De Beers Diamond Oval,Gav Baxter,Hdpk Dharmasena,Target is chased
153,2009,Port Elizabeth,2009-05-10,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,16,0,Jp Duminy,St George'S Park,Br Doctrove,Bg Jerling,Target is defended
154,2009,Johannesburg,2009-05-10,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,7,A Mishra,New Wanderers Stadium,Sl Shastri,Rb Tiffin,Target is chased
155,2009,Kimberley,2009-05-11,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Deccan Chargers,53,0,Dr Smith,De Beers Diamond Oval,Gav Baxter,Hdpk Dharmasena,Target is defended
156,2009,Centurion,2009-05-12,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,6,Lrpl Taylor,Supersport Park,M Erasmus,Ss Hazare,Target is chased
157,2009,Centurion,2009-05-12,Kings Xi Punjab,Mumbai Indians,Kings Xi Punjab,bat,normal,0,Mumbai Indians,0,8,Harbhajan Singh,Supersport Park,Ss Hazare,Re Koertzen,Target is chased
158,2009,Durban,2009-05-13,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Delhi Daredevils,12,0,R Bhatia,Kingsmead,Dj Harper,Sl Shastri,Target is defended
159,2009,Durban,2009-05-14,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,Royal Challengers Bangalore,0,2,Lrpl Taylor,Kingsmead,Br Doctrove,Dj Harper,Target is chased
160,2009,Durban,2009-05-14,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,normal,0,Rajasthan Royals,2,0,Sk Warne,Kingsmead,Br Doctrove,Dj Harper,Target is defended
161,2009,Bloemfontein,2009-05-15,Delhi Daredevils,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,6,B Lee,Outsurance Oval,Hdpk Dharmasena,Il Howell,Target is chased
162,2009,Port Elizabeth,2009-05-16,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,0,Chennai Super Kings,0,7,Ml Hayden,St George'S Park,Sk Tarapore,Sja Taufel,Target is chased
163,2009,Johannesburg,2009-05-16,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,Rg Sharma,New Wanderers Stadium,Re Koertzen,S Ravi,Target is chased
164,2009,Johannesburg,2009-05-17,Kings Xi Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Kings Xi Punjab,1,0,Yuvraj Singh,New Wanderers Stadium,S Ravi,Rb Tiffin,Target is defended
165,2009,Bloemfontein,2009-05-17,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Delhi Daredevils,14,0,Ab De Villiers,Outsurance Oval,Ss Hazare,Il Howell,Target is defended
166,2009,Centurion,2009-05-18,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Kolkata Knight Riders,0,7,Bj Hodge,Supersport Park,Sja Taufel,Rb Tiffin,Target is chased
167,2009,Johannesburg,2009-05-19,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,0,Royal Challengers Bangalore,0,7,Jh Kallis,New Wanderers Stadium,Il Howell,Rb Tiffin,Target is chased
168,2009,Durban,2009-05-20,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,4,Lr Shukla,Kingsmead,Bg Jerling,Sja Taufel,Target is chased
169,2009,Durban,2009-05-20,Chennai Super Kings,Kings Xi Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,M Muralitharan,Kingsmead,Bg Jerling,Sja Taufel,Target is defended
170,2009,Centurion,2009-05-21,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,4,V Sehwag,Supersport Park,Il Howell,S Ravi,Target is chased
171,2009,Centurion,2009-05-21,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,12,0,Mk Pandey,Supersport Park,Il Howell,S Ravi,Target is defended
172,2009,Centurion,2009-05-22,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,6,Ac Gilchrist,Supersport Park,Br Doctrove,Dj Harper,Target is chased
173,2009,Johannesburg,2009-05-23,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,6,Mk Pandey,New Wanderers Stadium,Re Koertzen,Sja Taufel,Target is chased
174,2009,Johannesburg,2009-05-24,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,6,0,A Kumble,New Wanderers Stadium,Re Koertzen,Sja Taufel,Target is defended
175,2010,Mumbai,2010-03-12,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,field,normal,0,Kolkata Knight Riders,11,0,Ad Mathews,Dr Dy Patil Sports Academy,Re Koertzen,Rb Tiffin,Target is defended
176,2010,Mumbai,2010-03-13,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Mumbai Indians,4,0,Yk Pathan,Brabourne Stadium,Re Koertzen,Rb Tiffin,Target is defended
177,2010,Chandigarh,2010-03-13,Kings Xi Punjab,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,5,G Gambhir,"Punjab Cricket Association Stadium, Mohali",Br Doctrove,S Ravi,Target is chased
178,2010,Kolkata,2010-03-14,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,7,Mk Tiwary,Eden Gardens,Hdpk Dharmasena,Am Saheba,Target is chased
179,2010,Chennai,2010-03-14,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,normal,0,Deccan Chargers,31,0,Wpujc Vaas,"Ma Chidambaram Stadium, Chepauk",K Hariharan,Dj Harper,Target is defended
180,2010,Ahmedabad,2010-03-15,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,6,V Sehwag,"Sardar Patel Stadium, Motera",Bg Jerling,Re Koertzen,Target is chased
181,2010,Bangalore,2010-03-16,Kings Xi Punjab,Royal Challengers Bangalore,Kings Xi Punjab,bat,normal,0,Royal Challengers Bangalore,0,8,Jh Kallis,M Chinnaswamy Stadium,S Das,Dj Harper,Target is chased
182,2010,Kolkata,2010-03-16,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,55,0,Ms Dhoni,Eden Gardens,Hdpk Dharmasena,Am Saheba,Target is defended
183,2010,Delhi,2010-03-17,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,Mumbai Indians,98,0,Sr Tendulkar,Feroz Shah Kotla,Br Doctrove,Sk Tarapore,Target is defended
184,2010,Bangalore,2010-03-18,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,10,Jh Kallis,M Chinnaswamy Stadium,K Hariharan,Dj Harper,Target is chased
185,2010,Delhi,2010-03-19,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,0,Chennai Super Kings,0,5,Ml Hayden,Feroz Shah Kotla,Br Doctrove,Sk Tarapore,Target is chased
186,2010,Cuttack,2010-03-19,Deccan Chargers,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Deccan Chargers,6,0,A Symonds,Barabati Stadium,Bf Bowden,M Erasmus,Target is defended
187,2010,Ahmedabad,2010-03-20,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Rajasthan Royals,34,0,Aa Jhunjhunwala,"Sardar Patel Stadium, Motera",Re Koertzen,Rb Tiffin,Target is defended
188,2010,Mumbai,2010-03-20,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Royal Challengers Bangalore,0,7,Jh Kallis,Brabourne Stadium,Hdpk Dharmasena,Ss Hazare,Target is chased
189,2010,Cuttack,2010-03-21,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Deccan Chargers,10,0,A Symonds,Barabati Stadium,Bf Bowden,M Erasmus,Target is defended
190,2010,Chennai,2010-03-21,Kings Xi Punjab,Chennai Super Kings,Chennai Super Kings,field,tie,0,Kings Xi Punjab,0,0,J Theron,"Ma Chidambaram Stadium, Chepauk",K Hariharan,Dj Harper,Tie/No Result
191,2010,Mumbai,2010-03-22,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,normal,0,Mumbai Indians,0,7,Sr Tendulkar,Brabourne Stadium,Ss Hazare,Sja Taufel,Target is chased
192,2010,Bangalore,2010-03-23,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Royal Challengers Bangalore,36,0,Rv Uthappa,M Chinnaswamy Stadium,Re Koertzen,Rb Tiffin,Target is defended
193,2010,Chandigarh,2010-03-24,Rajasthan Royals,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Rajasthan Royals,31,0,Ac Voges,"Punjab Cricket Association Stadium, Mohali",Br Doctrove,Sk Tarapore,Target is defended
194,2010,Mumbai,2010-03-25,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,5,Sr Tendulkar,Brabourne Stadium,Bf Bowden,Am Saheba,Target is chased
195,2010,Ahmedabad,2010-03-26,Deccan Chargers,Rajasthan Royals,Deccan Chargers,bat,normal,0,Rajasthan Royals,0,8,Yk Pathan,"Sardar Patel Stadium, Motera",Hdpk Dharmasena,Sja Taufel,Target is chased
196,2010,Chandigarh,2010-03-27,Kolkata Knight Riders,Kings Xi Punjab,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,39,0,Mk Tiwary,"Punjab Cricket Association Stadium, Mohali",Br Doctrove,S Ravi,Target is defended
197,2010,Bangalore,2010-03-25,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Delhi Daredevils,17,0,Km Jadhav,M Chinnaswamy Stadium,Bg Jerling,Re Koertzen,Target is defended
198,2010,Ahmedabad,2010-03-28,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,0,Rajasthan Royals,17,0,Nv Ojha,"Sardar Patel Stadium, Motera",Ss Hazare,Sja Taufel,Target is defended
199,2010,Mumbai,2010-03-28,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,41,0,Harbhajan Singh,Dr Dy Patil Sports Academy,S Das,K Hariharan,Target is defended
200,2010,Delhi,2010-03-29,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,Delhi Daredevils,40,0,Da Warner,Feroz Shah Kotla,Ss Hazare,Sja Taufel,Target is defended
201,2010,Mumbai,2010-03-30,Kings Xi Punjab,Mumbai Indians,Mumbai Indians,field,normal,0,Mumbai Indians,0,4,Sl Malinga,Brabourne Stadium,Br Doctrove,Sk Tarapore,Target is chased
202,2010,Chennai,2010-03-31,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,5,M Vijay,"Ma Chidambaram Stadium, Chepauk",Bg Jerling,Re Koertzen,Target is chased
203,2010,Delhi,2010-03-31,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Delhi Daredevils,67,0,Kd Karthik,Feroz Shah Kotla,Hdpk Dharmasena,Sja Taufel,Target is defended
204,2010,Kolkata,2010-04-01,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,24,0,Sc Ganguly,Eden Gardens,K Hariharan,Dj Harper,Target is defended
205,2010,Chandigarh,2010-04-02,Kings Xi Punjab,Royal Challengers Bangalore,Kings Xi Punjab,bat,normal,0,Royal Challengers Bangalore,0,6,Kp Pietersen,"Punjab Cricket Association Stadium, Mohali",Bf Bowden,M Erasmus,Target is chased
206,2010,Chennai,2010-04-03,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,normal,0,Chennai Super Kings,23,0,M Vijay,"Ma Chidambaram Stadium, Chepauk",Re Koertzen,Rb Tiffin,Target is defended
207,2010,Mumbai,2010-04-03,Mumbai Indians,Deccan Chargers,Mumbai Indians,bat,normal,0,Mumbai Indians,63,0,At Rayudu,Brabourne Stadium,Br Doctrove,S Ravi,Target is defended
208,2010,Kolkata,2010-04-04,Kolkata Knight Riders,Kings Xi Punjab,Kolkata Knight Riders,bat,normal,0,Kings Xi Punjab,0,8,Dpmd Jayawardene,Eden Gardens,S Asnani,Dj Harper,Target is chased
209,2010,Delhi,2010-04-04,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,normal,0,Delhi Daredevils,37,0,Pd Collingwood,Feroz Shah Kotla,Bf Bowden,M Erasmus,Target is defended
210,2010,Nagpur,2010-04-05,Rajasthan Royals,Deccan Chargers,Rajasthan Royals,bat,normal,0,Rajasthan Royals,2,0,Sk Warne,"Vidarbha Cricket Association Stadium, Jamtha",Hdpk Dharmasena,Sja Taufel,Target is defended
211,2010,Chennai,2010-04-06,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,24,0,Sk Raina,"Ma Chidambaram Stadium, Chepauk",S Asnani,Dj Harper,Target is defended
212,2010,Jaipur,2010-04-07,Kings Xi Punjab,Rajasthan Royals,Kings Xi Punjab,bat,normal,0,Rajasthan Royals,0,9,Mj Lumb,Sawai Mansingh Stadium,S Ravi,Sk Tarapore,Target is chased
213,2010,Kolkata,2010-04-07,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,14,0,Sc Ganguly,Eden Gardens,Bg Jerling,Re Koertzen,Target is defended
214,2010,Bangalore,2010-04-08,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,7,Tl Suman,M Chinnaswamy Stadium,S Asnani,Dj Harper,Target is chased
215,2010,Chandigarh,2010-04-09,Mumbai Indians,Kings Xi Punjab,Mumbai Indians,bat,normal,0,Kings Xi Punjab,0,6,Kc Sangakkara,"Punjab Cricket Association Stadium, Mohali",M Erasmus,Am Saheba,Target is chased
216,2010,Nagpur,2010-04-10,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Deccan Chargers,0,6,Rj Harris,"Vidarbha Cricket Association Stadium, Jamtha",Hdpk Dharmasena,Sja Taufel,Target is chased
217,2010,Bangalore,2010-04-10,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,7,R Vinay Kumar,M Chinnaswamy Stadium,K Hariharan,Dj Harper,Target is chased
218,2010,Delhi,2010-04-11,Delhi Daredevils,Kings Xi Punjab,Delhi Daredevils,bat,normal,0,Kings Xi Punjab,0,7,Pp Chawla,Feroz Shah Kotla,Bf Bowden,Am Saheba,Target is chased
219,2010,Jaipur,2010-04-11,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Mumbai Indians,37,0,Sr Tendulkar,Sawai Mansingh Stadium,Br Doctrove,Sk Tarapore,Target is defended
220,2010,Nagpur,2010-04-12,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Deccan Chargers,13,0,Harmeet Singh,"Vidarbha Cricket Association Stadium, Jamtha",Re Koertzen,Rb Tiffin,Target is defended
221,2010,Mumbai,2010-04-13,Mumbai Indians,Delhi Daredevils,Mumbai Indians,bat,normal,0,Mumbai Indians,39,0,Ka Pollard,Brabourne Stadium,S Asnani,Dj Harper,Target is defended
222,2010,Chennai,2010-04-13,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders,bat,normal,0,Chennai Super Kings,0,9,R Ashwin,"Ma Chidambaram Stadium, Chepauk",Ss Hazare,Sja Taufel,Target is chased
223,2010,Jaipur,2010-04-14,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,Royal Challengers Bangalore,0,5,Kp Pietersen,Sawai Mansingh Stadium,Br Doctrove,S Ravi,Target is chased
224,2010,Chennai,2010-04-15,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,bat,normal,0,Delhi Daredevils,0,6,G Gambhir,"Ma Chidambaram Stadium, Chepauk",Hdpk Dharmasena,Ss Hazare,Target is chased
225,2010,Dharamsala,2010-04-16,Kings Xi Punjab,Deccan Chargers,Deccan Chargers,field,normal,0,Deccan Chargers,0,5,Rg Sharma,Himachal Pradesh Cricket Association Stadium,M Erasmus,Am Saheba,Target is chased
226,2010,Bangalore,2010-04-17,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,57,0,R Mclaren,M Chinnaswamy Stadium,Hdpk Dharmasena,Sja Taufel,Target is defended
227,2010,Kolkata,2010-04-17,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,normal,0,Kolkata Knight Riders,0,8,Jd Unadkat,Eden Gardens,Bg Jerling,Rb Tiffin,Target is chased
228,2010,Dharamsala,2010-04-18,Kings Xi Punjab,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,6,Ms Dhoni,Himachal Pradesh Cricket Association Stadium,Bf Bowden,Am Saheba,Target is chased
229,2010,Delhi,2010-04-18,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Deccan Chargers,11,0,A Symonds,Feroz Shah Kotla,Br Doctrove,Sk Tarapore,Target is defended
230,2010,Kolkata,2010-04-19,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,normal,0,Kolkata Knight Riders,0,9,M Kartik,Eden Gardens,Bg Jerling,Re Koertzen,Target is chased
231,2010,Mumbai,2010-04-21,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,normal,0,Mumbai Indians,35,0,Ka Pollard,Dr Dy Patil Sports Academy,Br Doctrove,Rb Tiffin,Target is defended
232,2010,Mumbai,2010-04-22,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,normal,0,Chennai Super Kings,38,0,De Bollinger,Dr Dy Patil Sports Academy,Br Doctrove,Rb Tiffin,Target is defended
233,2010,Mumbai,2010-04-24,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,normal,0,Royal Challengers Bangalore,0,9,A Kumble,Dr Dy Patil Sports Academy,Re Koertzen,Sja Taufel,Target is chased
234,2010,Mumbai,2010-04-25,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,normal,0,Chennai Super Kings,22,0,Sk Raina,Dr Dy Patil Sports Academy,Re Koertzen,Sja Taufel,Target is defended
235,2011,Chennai,2011-04-08,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,normal,0,Chennai Super Kings,2,0,S Anirudha,"Ma Chidambaram Stadium, Chepauk",Br Doctrove,Pr Reiffel,Target is defended
236,2011,Hyderabad,2011-04-09,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,Sk Trivedi,"Rajiv Gandhi International Stadium, Uppal",Re Koertzen,Sk Tarapore,Target is chased
237,2011,Kochi,2011-04-09,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,Royal Challengers Bangalore,0,6,Ab De Villiers,Nehru Stadium,Hdpk Dharmasena,K Hariharan,Target is chased
238,2011,Delhi,2011-04-10,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,normal,0,Mumbai Indians,0,8,Sl Malinga,Feroz Shah Kotla,Am Saheba,Rb Tiffin,Target is chased
239,2011,Mumbai,2011-04-10,Kings Xi Punjab,Pune Warriors,Kings Xi Punjab,bat,normal,0,Pune Warriors,0,7,Sb Wagh,Dr Dy Patil Sports Academy,Br Doctrove,Pr Reiffel,Target is chased
240,2011,Kolkata,2011-04-11,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,normal,0,Kolkata Knight Riders,9,0,Jh Kallis,Eden Gardens,Re Koertzen,Sk Tarapore,Target is defended
241,2011,Jaipur,2011-04-12,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils,bat,normal,0,Rajasthan Royals,0,6,Sk Warne,Sawai Mansingh Stadium,Aleem Dar,Rb Tiffin,Target is chased
