id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,match_outcome,home_advantage
249,2011,Hyderabad,2011-04-16,Deccan Chargers,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Kings Xi Punjab,0,8,Pc Valthaty,"Rajiv Gandhi International Stadium, Uppal",Re Koertzen,S Ravi,Target is chased,Neutral
250,2011,Mumbai,2011-04-17,Pune Warriors,Delhi Daredevils,Delhi Daredevils,field,normal,0,Delhi Daredevils,0,3,Yuvraj Singh,Dr Dy Patil Sports Academy,Asad Rauf,Am Saheba,Target is chased,Neutral
251,2011,Kolkata,2011-04-17,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,8,L Balaji,Eden Gardens,Aleem Dar,Rb Tiffin,Target is chased,Team2 Home
252,2011,Kochi,2011-04-18,Chennai Super Kings,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,1,Kochi Tuskers Kerala,0,7,Bb Mccullum,Nehru Stadium,K Hariharan,Al Hill,Target is chased,Team2 Home
253,2011,Delhi,2011-04-19,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,normal,0,Deccan Chargers,16,0,S Sohal,Feroz Shah Kotla,Pr Reiffel,Rj Tucker,Target is defended,Team2 Home
254,2011,Mumbai,2011-04-20,Pune Warriors,Mumbai Indians,Pune Warriors,bat,normal,0,Mumbai Indians,0,7,Mm Patel,Wankhede Stadium,Asad Rauf,Am Saheba,Target is chased,Team2 Home
255,2011,Kolkata,2011-04-20,Kochi Tuskers Kerala,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kochi Tuskers Kerala,6,0,Dpmd Jayawardene,Eden Gardens,Aleem Dar,Rb Tiffin,Target is defended,Team2 Home
256,2011,Chandigarh,2011-04-21,Kings Xi Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings Xi Punjab,48,0,Se Marsh,"Punjab Cricket Association Stadium, Mohali",S Asnani,Pr Reiffel,Target is defended,Neutral
257,2011,Mumbai,2011-04-22,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,8,0,Harbhajan Singh,Wankhede Stadium,Asad Rauf,Am Saheba,Target is defended,Team1 Home
258,2011,Kolkata,2011-04-22,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,9,Ch Gayle,Eden Gardens,Ss Hazare,Rb Tiffin,Target is chased,Team1 Home
259,2011,Delhi,2011-04-23,Delhi Daredevils,Kings Xi Punjab,Kings Xi Punjab,field,normal,0,Delhi Daredevils,29,0,Da Warner,Feroz Shah Kotla,S Asnani,Re Koertzen,Target is defended,Team1 Home
260,2011,Hyderabad,2011-04-24,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,normal,0,Mumbai Indians,37,0,Sl Malinga,"Rajiv Gandhi International Stadium, Uppal",Hdpk Dharmasena,Al Hill,Target is defended,Neutral
261,2011,Jaipur,2011-04-24,Kochi Tuskers Kerala,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,8,Sk Warne,Sawai Mansingh Stadium,Br Doctrove,Sk Tarapore,Target is chased,Neutral
262,2011,Chennai,2011-04-25,Chennai Super Kings,Pune Warriors,Pune Warriors,field,normal,0,Chennai Super Kings,25,0,Mek Hussey,"Ma Chidambaram Stadium, Chepauk",Aleem Dar,Rb Tiffin,Target is defended,Team1 Home
263,2011,Delhi,2011-04-26,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Royal Challengers Bangalore,0,3,V Kohli,Feroz Shah Kotla,S Asnani,Rj Tucker,Target is chased,Team1 Home
264,2011,Mumbai,2011-04-27,Pune Warriors,Chennai Super Kings,Pune Warriors,bat,normal,0,Chennai Super Kings,0,8,De Bollinger,Dr Dy Patil Sports Academy,Asad Rauf,Sl Shastri,Target is chased,Neutral
265,2011,Kochi,2011-04-27,Deccan Chargers,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,normal,0,Deccan Chargers,55,0,I Sharma,Nehru Stadium,Hdpk Dharmasena,Al Hill,Target is defended,Team2 Home
266,2011,Delhi,2011-04-28,Kolkata Knight Riders,Delhi Daredevils,Delhi Daredevils,field,normal,0,Kolkata Knight Riders,17,0,Mk Tiwary,Feroz Shah Kotla,Pr Reiffel,Rj Tucker,Target is defended,Team2 Home
267,2011,Jaipur,2011-04-29,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,J Botha,Sawai Mansingh Stadium,Asad Rauf,Sk Tarapore,Target is chased,Neutral
268,2011,Bangalore,2011-04-29,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,Royal Challengers Bangalore,26,0,V Kohli,M Chinnaswamy Stadium,Aleem Dar,Ss Hazare,Target is defended,Team1 Home
269,2011,Kochi,2011-04-30,Delhi Daredevils,Kochi Tuskers Kerala,Delhi Daredevils,bat,normal,0,Delhi Daredevils,38,0,V Sehwag,Nehru Stadium,Hdpk Dharmasena,Al Hill,Target is defended,Team2 Home
